name,city,priority_rank
ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,İSTANBUL,1
ADANA FEN LİSESİ,ADANA,1
ATATÜRK LİSESİ,İZMİR,1
AYDIN FEN LİSESİ,AYDIN,1
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ,KAYSERİ,1
NİLÜFER BORSA İSTANBUL FEN LİSESİ,BURSA,1
İSTANBUL ATATÜRK FEN LİSESİ,İSTANBUL,1
ÖZEL ASFA FEN LİSESİ,İSTANBUL,1
ANKARA PURSAKLAR FEN LİSESİ,ANKARA,1
VEHBİ DİNÇERLER FEN LİSESİ,GAZİANTEP,1
ÖZEL POLATLI AYYILDIZ ANADOLU LİSESİ,ANKARA,1
TOFAŞ FEN LİSESİ,BURSA,1
ÖZEL IĞDIR BAHÇEŞEHİR FEN LİSESİ,IĞDIR,1
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ,SAMSUN,1
REKABET KURUMU CUMHURİYET FEN LİSESİ,DİYARBAKIR,1
ANKARA FEN LİSESİ,ANKARA,1
YAŞAR ACAR FEN LİSESİ,İSTANBUL,1
ÖZEL BAHÇEŞEHİR LİSESİ,İSTANBUL,1
İZMİR FEN LİSESİ,İZMİR,1
ÇAPA FEN LİSESİ,İSTANBUL,1
ÖZEL ANKARA MAYA FEN VE TEKNOLOJİ LİSESİ,ANKARA,1
KONYA- MERAM FEN LİSESİ,KONYA,1
KABATAŞ ERKEK LİSESİ,İSTANBUL,1
UŞAK FEN LİSESİ,UŞAK,1
ERBAKIR FEN LİSESİ,DENİZLİ,1
EYÜP AYGAR FEN LİSESİ,MERSİN,1
ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ,KOCAELİ,1
ÖZEL BATI ANADOLU LİSESİ,ANTALYA,1
TRABZON MERKEZ FEN LİSESİ,TRABZON,1
MALATYA ERMAN ILICAK FEN LİSESİ,MALATYA,1
ERZURUM İBRAHİM HAKKI FEN LİSESİ,ERZURUM,1
YUSUF ZİYA ÖNER FEN LİSESİ,ANTALYA,1
ÖZEL YAVUZ FEN LİSESİ,GİRESUN,1
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ,İZMİR,1
İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ,İZMİR,1
ÖZEL TAN FEN LİSESİ,BURSA,1
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ,İZMİR,1
ÖZEL BORNOVA FEN LİSESİ,İZMİR,1
