Rank,High School,Total Students
1,Toplam,2308
2,AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),142
3,TED ANKARA KOLEJİ VAKFI ÖZEL LİSESİ (ANKARA - GÖLBAŞI),127
4,ODTÜ GELİŞTİRME VAKFI ÖZEL LİSESİ (ANKARA - ÇANKAYA),60
5,ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),48
6,İHSAN DOĞRAMACI VAKFI ÖZEL BİLKENT LABORATUAR LİSESİ (ERZURUM - YAKUTİYE),46
7,ANKARA ÖZEL TEVFİK FİKRET ANADOLU LİSESİ (ANKARA - ÇANKAYA),25
8,ÖZEL SEMBOL ANADOLU LİSESİ (ANKARA - ÇANKAYA),21
9,GAZİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),19
10,ÖZEL BİLKENT LİSESİ (ANKARA - ÇANKAYA),18
11,ÖZEL NESİBE AYDIN FEN LİSESİ (ANKARA - GÖLBAŞI),18
12,ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ (ANKARA - ETİMESGUT),18
13,ÖZEL ARI ANADOLU LİSESİ (ANKARA - ÇANKAYA),16
14,ÖZEL NESİBE AYDIN ANADOLU LİSESİ (ANKARA - GÖLBAŞI),16
15,ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),15
16,ANKARA ATATÜRK LİSESİ (ANKARA - ÇANKAYA),15
17,ÖZEL BİLFEN ÇAYYOLU FEN LİSESİ (ANKARA - ÇANKAYA),14
18,ÖZEL ANKARA MAYA ANADOLU LİSESİ (ANKARA - GÖLBAŞI),12
19,ÖZEL NESİBE AYDIN YILDIZLAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),12
20,TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),12
21,İZMİR FEN LİSESİ (İZMİR - BORNOVA),11
22,ÖZEL MATFEN EMRE KARATAŞ ANADOLU LİSESİ (ANKARA - ÇANKAYA),11
23,ÖZEL ARI FEN LİSESİ (ANKARA - ÇANKAYA),11
24,ÖZEL ANKARA ABC ANADOLU LİSESİ (ANKARA - ETİMESGUT),10
25,ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL FEN VE TEKNOLOJİ LİSESİ (ANKARA - ÇANKAYA),10
26,SINAV KOLEJİ ÖZEL ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),10
27,ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),10
28,ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),10
29,ANKARA ÜNİVERSİTESİ GELİŞTİRME VAKFI OKULLARI ÖZEL ANADOLU LİSESİ (ANKARA - ÇANKAYA),9
30,ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),9
31,MEHMET EMİN RESULZADE ANADOLU LİSESİ (ANKARA - ÇANKAYA),9
32,ATATÜRK LİSESİ (İZMİR - KONAK),9
33,ÖZEL ÜÇLER ANADOLU LİSESİ (ANKARA - ÇANKAYA),9
34,ÖZEL MODERN NESİL TEMELLİ BİLGİ AKADEMİSİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),8
35,SINAV KOLEJİ ÖZEL ANKARA ANADOLU LİSESİ (ANKARA - ÇANKAYA),8
36,PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ (KIRŞEHİR - MERKEZ),8
37,ÖZEL ÇAĞLAYAN ERKEK FEN LİSESİ (ANKARA - YENİMAHALLE),8
38,ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL ANADOLU LİSESİ (ANKARA - ÇANKAYA),8
39,ÖZEL GÜNDOĞDU FEN LİSESİ (ADANA - ÇUKUROVA),8
40,TED KAYSERİ KOLEJİ VAKFI ÖZEL LİSESİ (KAYSERİ - KOCASİNAN),8
41,ÖZEL İZMİR AMERİKAN KOLEJİ (İZMİR - KONAK),8
42,ÖZEL BİLFEN ÇAYYOLU ANADOLU LİSESİ (ANKARA - ÇANKAYA),7
43,TED ANTALYA KOLEJİ ÖZEL LİSESİ (ANTALYA - MURATPAŞA),7
44,ÖZEL TÜRK FEN LİSESİ (İZMİR - KONAK),7
45,TED ESKİŞEHİR KOLEJİ ÖZEL ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),7
46,ÖZEL EGE LİSESİ (İZMİR - BORNOVA),7
47,ÖZEL RASİM ŞAHİNKAYA ANADOLU LİSESİ (BURSA - NİLÜFER),7
48,KADIKÖY ANADOLU LİSESİ (İSTANBUL - KADIKÖY),7
49,ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),7
50,BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),7
51,ÖZEL ATAYURT FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),6
52,ÖZEL BÜYÜK FEN LİSESİ (ANKARA - ÇANKAYA),6
53,ÖZEL DENGE EĞİTİM BİLSAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
54,ÖZEL MAVİ GÖL FİNAL ANADOLU LİSESİ (ADANA - ÇUKUROVA),6
55,ÖZEL SEVGİ ANADOLU LİSESİ (ANKARA - GÖLBAŞI),6
56,GAZİ ÜNİVERSİTESİ VAKFI ÖZEL ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
57,ÖZEL NOTRE DAME DE SION FRANSIZ LİSESİ (İSTANBUL - ŞİŞLİ),6
58,AYDEM FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),6
59,KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),6
60,MANİSA FEN LİSESİ (MANİSA - YUNUSEMRE),6
61,ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),6
62,BAŞKENT ÜNİVERSİTESİ ÖZEL AYŞEABLA ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
63,ÖZEL ANKARA ABC FEN LİSESİ (ANKARA - ETİMESGUT),6
64,ÖZEL ANKARA NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
65,GAZİ ÜNİVERSİTESİ VAKFI ÖZEL FEN LİSESİ (ANKARA - ÇANKAYA),6
66,KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),6
67,ÖZEL ÜÇGEN ANADOLU LİSESİ (ANKARA - ETİMESGUT),6
68,ÖZEL ÇAKABEY LİSESİ (İZMİR - ÇİĞLİ),6
69,ÖZEL YÜCE KOLEJİ (ANKARA - ÇANKAYA),6
70,AYRANCI ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
71,ÖZEL JALE TEZER BİLİM FEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
