Median_Success_Rate,High School,Total_Instances,Success_Ranks,Corrected_Success_Ranks,Norm_Median_Success_Rate,Norm_Instances,Success_Score,Rank,Total Students,Norm_Bilkent_Entries,Priority_Score
2490.75,ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - EYÜPSULTAN),4,"[1.234, 1.858, 3.294, 3.577]","[1234.0, 1858.0, 3294.0, 3577.0]",0.0708298675539062,0.0126182965299684,-0.0291057855119688,,0.0,0.0,-0.0291057855119688
11019.739726027396,ADANA FEN LİSESİ (ADANA - SEYHAN),73,"[122.0, 254.0, 286.0, 363.0, 758.0, 945.0, 1.008, 1.242, 1.348, 1.603, 1.763, 1.858, 1.935, 2.053, 3.035, 3.063, 3.113, 3.294, 3.577, 3.658, 3.659, 3.771, 4.27, 4.344, 4.377, 4.686, 4.886, 5.199, 5.29, 5.725, 6.205, 6.228, 6.31, 6.639, 7.296, 7.32, 7.571, 8.566, 8.58, 8.932, 9.716, 10.612, 10.901, 12.201, 12.342, 13.25, 14.089, 14.136, 14.61, 15.033, 15.038, 15.66, 15.819, 16.846, 17.273, 17.31, 17.824, 18.769, 20.156, 22.085, 22.181, 22.575, 22.581, 23.284, 23.323, 23.451, 25.044, 26.044, 27.177, 29.261, 30.795, 31.866, 38.057]","[122.0, 254.0, 286.0, 363.0, 758.0, 945.0, 1008.0, 1242.0, 1348.0, 1603.0, 1763.0, 1858.0, 1935.0, 2053.0, 3035.0, 3063.0, 3113.0, 3294.0, 3577.0, 3658.0, 3659.0, 3771.0, 4270.0, 4344.0, 4377.0, 4686.0, 4886.0, 5199.0, 5290.0, 5725.0, 6205.0, 6228.0, 6310.0, 6639.0, 7296.0, 7320.0, 7571.0, 8566.0, 8580.0, 8932.0, 9716.0, 10612.0, 10901.0, 12201.0, 12342.0, 13250.0, 14089.0, 14136.0, 14610.0, 15033.0, 15038.0, 15660.0, 15819.0, 16846.0, 17273.0, 17310.0, 17824.0, 18769.0, 20156.0, 22085.0, 22181.0, 22575.0, 22581.0, 23284.0, 23323.0, 23451.0, 25044.0, 26044.0, 27177.0, 29261.0, 30795.0, 31866.0, 38057.0]",0.313370151670396,0.2302839116719243,-0.0415431199992358,269.0,2.0,0.014084507042253521,-0.04858537352036256
15849.487394957983,ATATÜRK LİSESİ (İZMİR - KONAK),119,"[945.0, 1.242, 1.288, 1.311, 1.603, 1.676, 1.935, 2.053, 2.14, 2.388, 2.544, 2.963, 3.356, 3.658, 3.659, 4.099, 4.122, 4.344, 4.377, 4.737, 5.145, 5.29, 5.361, 5.793, 5.947, 6.205, 6.31, 6.399, 6.639, 6.65, 7.296, 7.31, 7.32, 7.42, 7.721, 8.201, 8.262, 8.58, 9.025, 9.162, 9.175, 9.61, 9.627, 9.716, 10.321, 10.386, 10.795, 10.901, 11.277, 11.438, 11.527, 11.733, 12.683, 12.9, 13.176, 13.255, 13.45, 13.547, 14.136, 14.988, 15.007, 15.094, 15.819, 16.089, 16.394, 16.761, 17.018, 17.132, 17.383, 17.828, 18.12, 18.127, 18.333, 18.6, 19.22, 19.442, 19.498, 19.963, 20.037, 20.33, 20.419, 21.103, 22.125, 22.161, 22.233, 22.581, 23.272, 23.36, 23.389, 23.451, 23.457, 24.094, 24.51, 25.811, 25.986, 26.044, 26.474, 27.311, 27.413, 27.75, 27.815, 28.236, 29.261, 29.883, 30.796, 31.183, 31.207, 31.577, 32.334, 32.399, 32.58, 32.688, 32.946, 34.037, 34.888, 35.496, 35.666, 37.002, 37.839]","[945.0, 1242.0, 1288.0, 1311.0, 1603.0, 1676.0, 1935.0, 2053.0, 2140.0, 2388.0, 2544.0, 2963.0, 3356.0, 3658.0, 3659.0, 4099.0, 4122.0, 4344.0, 4377.0, 4737.0, 5145.0, 5290.0, 5361.0, 5793.0, 5947.0, 6205.0, 6310.0, 6399.0, 6639.0, 6650.0, 7296.0, 7310.0, 7320.0, 7420.0, 7721.0, 8201.0, 8262.0, 8580.0, 9025.0, 9162.0, 9175.0, 9610.0, 9627.0, 9716.0, 10321.0, 10386.0, 10795.0, 10901.0, 11277.0, 11438.0, 11527.0, 11733.0, 12683.0, 12900.0, 13176.0, 13255.0, 13450.0, 13547.0, 14136.0, 14988.0, 15007.0, 15094.0, 15819.0, 16088.999999999998, 16394.0, 16761.0, 17018.0, 17132.0, 17383.0, 17828.0, 18120.0, 18127.0, 18333.0, 18600.0, 19220.0, 19442.0, 19498.0, 19963.0, 20037.0, 20330.0, 20419.0, 21103.0, 22125.0, 22161.0, 22233.0, 22581.0, 23272.0, 23360.0, 23389.0, 23451.0, 23457.0, 24094.0, 24510.0, 25811.0, 25986.0, 26044.0, 26474.0, 27311.0, 27413.0, 27750.0, 27815.0, 28236.0, 29261.0, 29883.0, 30796.0, 31183.0, 31207.0, 31577.0, 32334.000000000004, 32399.0, 32580.0, 32688.000000000004, 32946.0, 34037.0, 34888.0, 35496.0, 35666.0, 37002.0, 37839.0]",0.4507144807717273,0.3753943217665615,-0.0376600795025829,32.0,9.0,0.06338028169014084,-0.06935022034765331
10692.849056603774,AYDIN FEN LİSESİ (AYDIN - EFELER),53,"[203.0, 254.0, 286.0, 945.0, 1.008, 1.242, 1.348, 1.603, 1.858, 1.935, 2.086, 2.388, 2.408, 2.826, 3.035, 3.658, 3.771, 4.27, 4.377, 4.91, 5.145, 5.199, 5.29, 5.947, 6.399, 7.32, 7.43, 7.721, 8.262, 8.58, 10.321, 12.286, 12.683, 13.255, 13.485, 14.988, 15.038, 15.819, 17.273, 17.383, 17.828, 17.949, 18.333, 18.6, 19.139, 20.037, 20.419, 22.581, 23.457, 29.065, 29.182, 37.839, 38.057]","[203.0, 254.0, 286.0, 945.0, 1008.0, 1242.0, 1348.0, 1603.0, 1858.0, 1935.0, 2086.0, 2388.0, 2408.0, 2826.0, 3035.0, 3658.0, 3771.0, 4270.0, 4377.0, 4910.0, 5145.0, 5199.0, 5290.0, 5947.0, 6399.0, 7320.0, 7430.0, 7721.0, 8262.0, 8580.0, 10321.0, 12286.0, 12683.0, 13255.0, 13485.0, 14988.0, 15038.0, 15819.0, 17273.0, 17383.0, 17828.0, 17949.0, 18333.0, 18600.0, 19139.0, 20037.0, 20419.0, 22581.0, 23457.0, 29065.0, 29182.0, 37839.0, 38057.0]",0.3040743079205686,0.167192429022082,-0.0684409394492433,675.0,1.0,0.007042253521126761,-0.07196206620980668
12247.89393939394,OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),66,"[254.0, 286.0, 452.0, 758.0, 1.242, 1.288, 1.348, 1.603, 1.763, 1.804, 1.858, 1.935, 2.388, 2.408, 2.681, 2.792, 3.035, 3.294, 3.577, 3.658, 3.787, 5.145, 5.199, 5.725, 5.787, 6.31, 6.639, 6.762, 7.32, 7.571, 8.071, 8.201, 9.61, 9.716, 10.779, 10.901, 11.535, 12.342, 13.176, 13.45, 13.485, 13.487, 14.136, 14.203, 15.094, 17.273, 18.118, 19.498, 20.156, 20.538, 21.427, 23.284, 23.457, 24.461, 25.654, 25.78, 25.811, 26.345, 27.034, 27.177, 27.516, 29.065, 31.085, 31.102, 32.688, 34.037]","[254.0, 286.0, 452.0, 758.0, 1242.0, 1288.0, 1348.0, 1603.0, 1763.0, 1804.0, 1858.0, 1935.0, 2388.0, 2408.0, 2681.0, 2792.0, 3035.0, 3294.0, 3577.0, 3658.0, 3787.0, 5145.0, 5199.0, 5725.0, 5787.0, 6310.0, 6639.0, 6762.0, 7320.0, 7571.0, 8071.0, 8201.0, 9610.0, 9716.0, 10779.0, 10901.0, 11535.0, 12342.0, 13176.0, 13450.0, 13485.0, 13487.0, 14136.0, 14203.0, 15094.0, 17273.0, 18118.0, 19498.0, 20156.0, 20538.0, 21427.0, 23284.0, 23457.0, 24461.0, 25654.0, 25780.0, 25811.0, 26345.0, 27034.0, 27177.0, 27516.0, 29065.0, 31085.0, 31102.0, 32688.000000000004, 34037.0]",0.348295375104512,0.2082018927444795,-0.0700467411800162,780.0,1.0,0.007042253521126761,-0.07356786794057958
13944.367088607594,NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),79,"[254.0, 1.008, 1.311, 1.348, 1.603, 1.676, 1.935, 2.053, 2.388, 2.963, 3.113, 3.294, 3.356, 3.577, 3.658, 3.689, 4.344, 4.91, 5.145, 5.199, 5.29, 5.725, 5.787, 5.947, 6.639, 7.296, 7.32, 7.42, 7.43, 7.571, 7.721, 9.025, 9.627, 9.716, 10.165, 11.277, 11.733, 12.201, 12.342, 13.25, 13.324, 13.547, 13.973, 14.089, 14.398, 15.007, 15.038, 15.359, 16.409, 16.552, 17.273, 17.31, 17.828, 18.333, 18.907, 19.442, 20.06, 20.245, 20.419, 20.962, 22.192, 22.314, 23.36, 23.389, 23.451, 24.094, 24.752, 25.044, 26.044, 27.956, 28.664, 29.446, 29.883, 30.038, 31.45, 31.493, 35.496, 35.701, 38.057]","[254.0, 1008.0, 1311.0, 1348.0, 1603.0, 1676.0, 1935.0, 2053.0, 2388.0, 2963.0, 3113.0, 3294.0, 3356.0, 3577.0, 3658.0, 3689.0, 4344.0, 4910.0, 5145.0, 5199.0, 5290.0, 5725.0, 5787.0, 5947.0, 6639.0, 7296.0, 7320.0, 7420.0, 7430.0, 7571.0, 7721.0, 9025.0, 9627.0, 9716.0, 10165.0, 11277.0, 11733.0, 12201.0, 12342.0, 13250.0, 13324.0, 13547.0, 13973.0, 14089.0, 14398.0, 15007.0, 15038.0, 15359.0, 16409.0, 16552.0, 17273.0, 17310.0, 17828.0, 18333.0, 18907.0, 19442.0, 20060.0, 20245.0, 20419.0, 20962.0, 22192.0, 22314.0, 23360.0, 23389.0, 23451.0, 24094.0, 24752.0, 25044.0, 26044.0, 27956.0, 28664.0, 29446.0, 29883.0, 30038.0, 31450.0, 31493.0, 35496.0, 35701.0, 38057.0]",0.3965382611699787,0.2492113564668769,-0.0736634523515508,,0.0,0.0,-0.0736634523515508
12980.81012658228,İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),79,"[24.0, 286.0, 452.0, 758.0, 1.008, 1.242, 1.311, 1.348, 1.603, 1.858, 1.935, 2.053, 2.388, 2.408, 2.792, 2.963, 3.294, 3.658, 3.659, 3.689, 3.771, 4.099, 4.27, 4.344, 4.686, 4.886, 4.91, 5.145, 5.199, 5.29, 5.361, 5.725, 5.787, 6.228, 6.399, 6.639, 6.762, 7.43, 7.721, 8.071, 11.277, 11.7, 11.733, 12.201, 12.463, 13.176, 13.324, 13.45, 13.973, 15.038, 15.359, 16.846, 17.132, 18.6, 19.203, 19.32, 19.963, 20.156, 21.534, 22.192, 22.581, 23.352, 23.36, 23.451, 23.884, 24.589, 25.678, 25.722, 26.044, 26.383, 26.897, 27.165, 27.815, 28.1, 33.211, 33.932, 34.531, 36.423, 38.298]","[24000.0, 286.0, 452.0, 758.0, 1008.0, 1242.0, 1311.0, 1348.0, 1603.0, 1858.0, 1935.0, 2053.0, 2388.0, 2408.0, 2792.0, 2963.0, 3294.0, 3658.0, 3659.0, 3689.0, 3771.0, 4099.0, 4270.0, 4344.0, 4686.0, 4886.0, 4910.0, 5145.0, 5199.0, 5290.0, 5361.0, 5725.0, 5787.0, 6228.0, 6399.0, 6639.0, 6762.0, 7430.0, 7721.0, 8071.0, 11277.0, 11700.0, 11733.0, 12201.0, 12463.0, 13176.0, 13324.0, 13450.0, 13973.0, 15038.0, 15359.0, 16846.0, 17132.0, 18600.0, 19203.0, 19320.0, 19963.0, 20156.0, 21534.0, 22192.0, 22581.0, 23352.0, 23360.0, 23451.0, 23884.0, 24589.0, 25678.0, 25722.0, 26044.0, 26383.0, 26897.0, 27165.0, 27815.0, 28100.0, 33211.0, 33932.0, 34531.0, 36423.0, 38298.0]",0.369137433306525,0.2492113564668769,-0.059963038419824,99.0,4.0,0.028169014084507043,-0.07404754546207752
6599.0,ÖZEL ASFA FEN LİSESİ (İSTANBUL - ÜSKÜDAR),9,"[1.348, 2.053, 4.686, 5.145, 6.639, 8.071, 8.262, 10.901, 12.286]","[1348.0, 2053.0, 4686.0, 5145.0, 6639.0, 8071.0, 8262.0, 10901.0, 12286.0]",0.1876568487356125,0.028391167192429,-0.0796328407715917,,0.0,0.0,-0.0796328407715917
15218.241758241758,ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),91,"[31.0, 286.0, 452.0, 945.0, 1.242, 1.348, 1.603, 1.676, 1.935, 2.053, 2.392, 2.408, 2.826, 3.063, 3.064, 3.577, 3.658, 4.377, 5.145, 5.199, 5.725, 5.787, 6.066, 6.128, 6.762, 7.32, 7.43, 7.571, 8.201, 8.566, 8.58, 9.61, 9.627, 9.716, 10.386, 10.612, 10.795, 11.519, 11.535, 11.733, 12.342, 12.683, 13.125, 13.25, 13.255, 13.547, 13.564, 14.398, 14.61, 15.007, 15.038, 15.819, 16.089, 17.273, 17.824, 17.828, 18.118, 18.453, 18.907, 19.22, 19.32, 19.498, 20.156, 21.103, 22.314, 22.581, 22.842, 23.451, 23.457, 23.517, 23.583, 23.783, 23.884, 24.094, 24.461, 25.044, 26.345, 27.413, 27.427, 27.516, 27.595, 27.75, 28.342, 28.414, 30.424, 30.795, 32.565, 35.36, 36.073, 36.548, 36.937]","[31000.0, 286.0, 452.0, 945.0, 1242.0, 1348.0, 1603.0, 1676.0, 1935.0, 2053.0, 2392.0, 2408.0, 2826.0, 3063.0, 3064.0, 3577.0, 3658.0, 4377.0, 5145.0, 5199.0, 5725.0, 5787.0, 6066.0, 6128.0, 6762.0, 7320.0, 7430.0, 7571.0, 8201.0, 8566.0, 8580.0, 9610.0, 9627.0, 9716.0, 10386.0, 10612.0, 10795.0, 11519.0, 11535.0, 11733.0, 12342.0, 12683.0, 13125.0, 13250.0, 13255.0, 13547.0, 13564.0, 14398.0, 14610.0, 15007.0, 15038.0, 15819.0, 16088.999999999998, 17273.0, 17824.0, 17828.0, 18118.0, 18453.0, 18907.0, 19220.0, 19320.0, 19498.0, 20156.0, 21103.0, 22314.0, 22581.0, 22842.0, 23451.0, 23457.0, 23517.0, 23583.0, 23783.0, 23884.0, 24094.0, 24461.0, 25044.0, 26345.0, 27413.0, 27427.0, 27516.0, 27595.0, 27750.0, 28342.0, 28414.0, 30424.0, 30795.0, 32564.999999999996, 35360.0, 36073.0, 36548.0, 36937.0]",0.4327636447413784,0.2870662460567823,-0.072848699342298,270.0,2.0,0.014084507042253521,-0.07989095286342476
13938.388888888889,VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),72,"[31.0, 286.0, 363.0, 452.0, 1.008, 1.242, 1.311, 1.348, 1.603, 1.676, 1.935, 2.887, 2.963, 3.035, 3.113, 3.294, 3.356, 3.577, 3.658, 3.689, 4.27, 4.377, 5.145, 5.199, 5.29, 5.947, 6.639, 7.32, 7.43, 7.571, 7.769, 8.201, 8.566, 8.58, 9.627, 9.716, 10.165, 10.612, 10.901, 11.277, 12.201, 12.683, 13.25, 13.324, 13.485, 14.136, 14.61, 16.846, 17.383, 17.824, 18.333, 18.767, 18.907, 20.156, 22.575, 23.284, 25.654, 26.382, 26.474, 27.177, 27.427, 27.55, 28.704, 30.469, 32.716, 33.408, 35.36, 36.073, 36.937, 37.891, 38.057, 39.123]","[31000.0, 286.0, 363.0, 452.0, 1008.0, 1242.0, 1311.0, 1348.0, 1603.0, 1676.0, 1935.0, 2887.0, 2963.0, 3035.0, 3113.0, 3294.0, 3356.0, 3577.0, 3658.0, 3689.0, 4270.0, 4377.0, 5145.0, 5199.0, 5290.0, 5947.0, 6639.0, 7320.0, 7430.0, 7571.0, 7769.0, 8201.0, 8566.0, 8580.0, 9627.0, 9716.0, 10165.0, 10612.0, 10901.0, 11277.0, 12201.0, 12683.0, 13250.0, 13324.0, 13485.0, 14136.0, 14610.0, 16846.0, 17383.0, 17824.0, 18333.0, 18767.0, 18907.0, 20156.0, 22575.0, 23284.0, 25654.0, 26382.0, 26474.0, 27177.0, 27427.0, 27550.0, 28704.0, 30469.0, 32716.0, 33408.0, 35360.0, 36073.0, 36937.0, 37891.0, 38057.0, 39123.0]",0.3963682581209827,0.2271293375394321,-0.0846194602907752,,0.0,0.0,-0.0846194602907752
