High School,Total,New Graduates,Previous Graduates,Success Rank
Toplam,8,8,0,24
BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,24
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,1,0,24
NAMIK KARAMANCI FEN LİSESİ (ANTALYA - MANAVGAT),1,1,0,24
ÖZEL AÇI KOLEJİ FEN LİSESİ (BURSA - MUSTAFAKEMALPAŞA),1,1,0,24
ÖZEL BİLFEN ANTALYA FEN LİSESİ (ANTALYA - MURATPAŞA),1,1,0,24
ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),2,2,0,24
REKABET KURUMU CUMHURİYET FEN LİSESİ (DİYARBAKIR - YENİŞEHİR),1,1,0,24
Toplam,10,9,1,31
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,31
YOZGAT ŞEHİTLER FEN LİSESİ (YOZGAT - MERKEZ),1,1,0,31
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,0,1,31
BORSA İSTANBUL FEN LİSESİ (DİYARBAKIR - BAĞLAR),1,1,0,31
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,31
GAZİANTEP KOLEJİ VAKFI ÖZEL FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,31
KAYA KARAKAYA FEN LİSESİ (ELAZIĞ - MERKEZ),1,1,0,31
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),1,1,0,31
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,31
TÜRK EĞİTİM VAKFI ANADOLU LİSESİ (DENİZLİ - PAMUKKALE),1,1,0,31
Toplam,18,18,0,122
ÖZEL MÜRÜVVET EVYAP FEN LİSESİ (İSTANBUL - SARIYER),1,1,0,122
ÖZEL TÜRK FEN LİSESİ (İZMİR - KONAK),1,1,0,122
ÖZEL YENİ YOL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,122
PERTEVNİYAL LİSESİ (İSTANBUL - FATİH),1,1,0,122
ŞÜKRÜ ŞANKAYA ANADOLU LİSESİ (BURSA - OSMANGAZİ),1,1,0,122
TAVŞANLI 15 TEMMUZ ŞEHİTLER FEN LİSESİ (KÜTAHYA - TAVŞANLI),1,1,0,122
UŞAK FEN LİSESİ (UŞAK - MERKEZ),1,1,0,122
ADANA FEN LİSESİ (ADANA - SEYHAN),2,2,0,122
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),1,1,0,122
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),3,3,0,122
İZMİR FEN LİSESİ (İZMİR - BORNOVA),1,1,0,122
KÜTAHYA NAFİ GÜRAL FEN LİSESİ (KÜTAHYA - MERKEZ),1,1,0,122
ÖZEL ADANA FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,122
ÖZEL ANTALYA FİNAL FEN LİSESİ (ANTALYA - KEPEZ),1,1,0,122
ÖZEL BİLGİ FEN LİSESİ (TOKAT - MERKEZ),1,1,0,122
Toplam,7,6,1,203
AYDEM FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,203
AYDIN FEN LİSESİ (AYDIN - EFELER),1,1,0,203
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,203
GAZİANTEP KOLEJİ VAKFI ÖZEL FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,203
KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),1,0,1,203
ÖZEL İBRAHİMARI ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,203
TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1,1,0,203
Toplam,6,6,0,254
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,254
AYDIN FEN LİSESİ (AYDIN - EFELER),1,1,0,254
DÜZCE FEN LİSESİ (DÜZCE - MERKEZ),1,1,0,254
KARTAL ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KARTAL),1,1,0,254
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),1,1,0,254
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,254
Toplam,46,44,2,286
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),1,1,0,286
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,286
ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,1,0,286
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,1,0,286
İZMİR FEN LİSESİ (İZMİR - BORNOVA),1,1,0,286
KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),1,1,0,286
MACİT ZEREN FEN LİSESİ (AMASYA - MERKEZ),1,1,0,286
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),3,3,0,286
ÖZEL BEYSUKENT ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,286
ÖZEL BOĞAZİÇİ ŞEHİR FEN LİSESİ (KÜTAHYA - MERKEZ),1,0,1,286
ADANA FEN LİSESİ (ADANA - SEYHAN),1,0,1,286
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,286
ÖZEL ÇAĞLAYAN ERKEK FEN LİSESİ (ANKARA - YENİMAHALLE),2,2,0,286
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),1,1,0,286
ÖZEL KANGURU FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,286
ÖZEL KUMLUCA SINAV FEN LİSESİ (ANTALYA - KUMLUCA),1,1,0,286
ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ (ANKARA - ETİMESGUT),2,2,0,286
REKABET KURUMU CUMHURİYET FEN LİSESİ (DİYARBAKIR - YENİŞEHİR),1,1,0,286
SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),1,1,0,286
SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),1,1,0,286
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,286
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),3,3,0,286
ŞANLIURFA FEN LİSESİ (ŞANLIURFA - HALİLİYE),2,2,0,286
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,286
TED ANKARA KOLEJİ VAKFI ÖZEL LİSESİ (ANKARA - GÖLBAŞI),2,2,0,286
TERME FEN LİSESİ (SAMSUN - TERME),1,1,0,286
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,286
