High School,Priority_Group
ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - EYÜPSULTAN),1
ADANA FEN LİSESİ (ADANA - SEYHAN),1
ATATÜRK LİSESİ (İZMİR - KONAK),1
AYDIN FEN LİSESİ (AYDIN - EFELER),1
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),1
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1
ÖZEL ASFA FEN LİSESİ (İSTANBUL - ÜSKÜDAR),1
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
ÖZEL POLATLI AYYILDIZ ANADOLU LİSESİ (ANKARA - POLATLI),1
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),1
ÖZEL IĞDIR BAHÇEŞEHİR FEN LİSESİ (IĞDIR - MERKEZ),1
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ (SAMSUN - ATAKUM),1
REKABET KURUMU CUMHURİYET FEN LİSESİ (DİYARBAKIR - YENİŞEHİR),1
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1
YAŞAR ACAR FEN LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1
ÖZEL BAHÇEŞEHİR LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
İZMİR FEN LİSESİ (İZMİR - BORNOVA),1
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),1
ÖZEL ANKARA MAYA FEN VE TEKNOLOJİ LİSESİ (ANKARA - GÖLBAŞI),1
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),1
KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),1
UŞAK FEN LİSESİ (UŞAK - MERKEZ),1
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1
ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),1
ÖZEL BATI ANADOLU LİSESİ (ANTALYA - MANAVGAT),1
TRABZON MERKEZ FEN LİSESİ (TRABZON - ORTAHİSAR),1
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),1
ÖZEL YAVUZ FEN LİSESİ (GİRESUN - KEŞAP),1
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),1
İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ (İZMİR - ÇİĞLİ),1
ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),1
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ (İZMİR - BUCA),1
ÖZEL BORNOVA FEN LİSESİ (İZMİR - BORNOVA),1
GALATASARAY ÜNİVERSİTESİ GALATASARAY LİSESİ (İSTANBUL - BEYOĞLU),1
ÖZEL BEYSUKENT ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
ŞEHİT TURGUT SOLAK FEN LİSESİ (BALIKESİR - KARESİ),1
SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),1
ÖZEL ALTINYILDIZ FEN LİSESİ (NEVŞEHİR - MERKEZ),1
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),1
KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),1
HÜSEYİN AVNİ SÖZEN ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),1
ÖZEL ADANA FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),1
ÖZEL SANKO FEN VE TEKNOLOJİ LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),1
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),1
ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),1
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),1
MANİSA FEN LİSESİ (MANİSA - YUNUSEMRE),1
ŞANLIURFA FEN LİSESİ (ŞANLIURFA - HALİLİYE),1
ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),1
HAYDARPAŞA LİSESİ (İSTANBUL - ÜSKÜDAR),1
BURSA ANADOLU LİSESİ (BURSA - OSMANGAZİ),1
NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),1
KADIKÖY ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
ÖZEL TOKAT AYIŞIĞI FEN LİSESİ (TOKAT - MERKEZ),1
ÖZEL BAFRA AÇI FEN LİSESİ (SAMSUN - BAFRA),1
TED BATMAN PETROL KOLEJİ ÖZEL ANADOLU LİSESİ (BATMAN - MERKEZ),1
ÖZEL ORDU ÜNYE FİNAL AKADEMİ FEN LİSESİ (ORDU - ÜNYE),1
ÖZEL TEMA PARK BAHÇEŞEHİR KOLEJİ FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1
ÖZEL PROFESYONEL EĞİTİM AKADEMİSİ (PEMA) FEN LİSESİ (KONYA - SELÇUKLU),1
ÖZEL AMERİKAN ROBERT LİSESİ (İSTANBUL - BEŞİKTAŞ),1
ÖZEL ATAFEN FEN LİSESİ (KOCAELİ - İZMİT),1
ÖZEL MERSİN ELİT KOLEJİ FEN LİSESİ (MERSİN - YENİŞEHİR),1
TOBB OSMANİYE FEN LİSESİ (OSMANİYE - MERKEZ),1
ŞEHİT MÜNİR ALKAN FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1
ÖZEL ŞANLIURFA TED KOLEJİ ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1
GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),1
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1
İSKENDERUN TOSÇELİK FEN LİSESİ (HATAY - İSKENDERUN),1
KARATAY FEN LİSESİ (KONYA - KARATAY),1
ÖZEL SARAÇ İLGİ OKULLARI FEN LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1
ÖZEL ANKARA UĞUR ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
SİVAS FEN LİSESİ (SİVAS - MERKEZ),1
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),1
YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),1
AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),1
KAHRAMANMARAŞ TOBB FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1
SÜLEYMAN DEMİREL FEN LİSESİ (AFYONKARAHİSAR - MERKEZ),1
