High School,Total_Instances,Success_Ranks
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),317,"[386.0, 452.0, 1.008, 1.242, 1.288, 1.311, 1.348, 1.391, 1.603, 1.858, 1.935, 2.053, 2.388, 2.508, 2.519, 2.792, 2.963, 3.035, 3.294, 3.356, 3.577, 3.659, 3.689, 4.122, 4.377, 5.199, 5.29, 5.361, 5.725, 5.787, 5.947, 6.066, 6.399, 6.545, 6.639, 6.65, 6.762, 7.31, 7.32, 7.43, 7.571, 8.071, 8.201, 8.58, 8.932, 9.025, 9.162, 9.589, 9.61, 9.627, 9.716, 9.745, 10.165, 10.321, 10.612, 10.795, 10.901, 11.277, 11.324, 11.438, 11.527, 11.535, 11.7, 11.721, 11.733, 12.201, 12.286, 12.336, 12.342, 12.463, 12.683, 13.125, 13.176, 13.177, 13.25, 13.255, 13.324, 13.485, 13.487, 13.547, 13.713, 13.973, 14.089, 14.136, 14.203, 14.398, 14.61, 14.988, 15.007, 15.033, 15.038, 15.094, 15.217, 15.66, 15.819, 16.052, 16.089, 16.19, 16.371, 16.394, 16.409, 16.552, 16.761, 16.846, 17.018, 17.071, 17.132, 17.162, 17.273, 17.31, 17.383, 17.488, 17.824, 17.828, 17.942, 18.118, 18.127, 18.145, 18.333, 18.464, 18.6, 18.662, 18.714, 18.769, 18.907, 19.077, 19.139, 19.22, 19.32, 19.442, 19.498, 19.538, 19.569, 20.037, 20.06, 20.156, 20.245, 20.33, 20.419, 20.43, 20.538, 20.962, 21.103, 21.168, 21.427, 22.085, 22.161, 22.233, 22.314, 22.575, 22.581, 23.094, 23.272, 23.284, 23.323, 23.36, 23.389, 23.448, 23.451, 23.457, 23.517, 23.583, 23.646, 23.783, 23.818, 23.884, 23.914, 24.094, 24.13, 24.264, 24.461, 24.51, 24.589, 24.752, 24.963, 25.044, 25.361, 25.654, 25.722, 25.78, 25.811, 25.986, 26.161, 26.18, 26.345, 26.382, 26.383, 26.429, 26.474, 26.792, 26.805, 26.897, 27.034, 27.146, 27.165, 27.177, 27.311, 27.352, 27.413, 27.427, 27.516, 27.586, 27.595, 27.75, 27.815, 27.829, 27.909, 27.956, 28.1, 28.191, 28.236, 28.342, 28.376, 28.414, 28.565, 28.664, 28.704, 28.74, 29.049, 29.065, 29.182, 29.19, 29.261, 29.316, 29.33, 29.333, 29.446, 29.704, 29.719, 30.038, 30.322, 30.424, 30.469, 30.608, 30.722, 30.774, 30.795, 30.913, 31.102, 31.183, 31.383, 31.449, 31.45, 31.493, 31.519, 31.544, 31.66, 31.866, 32.248, 32.334, 32.565, 32.688, 32.79, 32.946, 33.097, 33.408, 33.565, 33.854, 33.863, 33.878, 33.932, 33.982, 34.037, 34.116, 34.163, 34.2, 34.285, 34.531, 34.627, 34.71, 34.778, 34.888, 35.079, 35.288, 35.349, 35.36, 35.417, 35.495, 35.496, 35.666, 35.831, 35.968, 36.002, 36.067, 36.073, 36.077, 36.271, 36.278, 36.316, 36.548, 36.571, 36.794, 36.921, 36.935, 36.937, 37.002, 37.31, 37.312, 37.569, 37.839, 37.891, 38.038, 38.057, 38.191, 38.2, 38.243, 38.298, 38.608, 39.027, 39.047, 39.123, 39.206, 39.225, 39.392, 39.458, 39.508, 39.558]"
ATATÜRK LİSESİ (İZMİR - KONAK),119,"[945.0, 1.242, 1.288, 1.311, 1.603, 1.676, 1.935, 2.053, 2.14, 2.388, 2.544, 2.963, 3.356, 3.658, 3.659, 4.099, 4.122, 4.344, 4.377, 4.737, 5.145, 5.29, 5.361, 5.793, 5.947, 6.205, 6.31, 6.399, 6.639, 6.65, 7.296, 7.31, 7.32, 7.42, 7.721, 8.201, 8.262, 8.58, 9.025, 9.162, 9.175, 9.61, 9.627, 9.716, 10.321, 10.386, 10.795, 10.901, 11.277, 11.438, 11.527, 11.733, 12.683, 12.9, 13.176, 13.255, 13.45, 13.547, 14.136, 14.988, 15.007, 15.094, 15.819, 16.089, 16.394, 16.761, 17.018, 17.132, 17.383, 17.828, 18.12, 18.127, 18.333, 18.6, 19.22, 19.442, 19.498, 19.963, 20.037, 20.33, 20.419, 21.103, 22.125, 22.161, 22.233, 22.581, 23.272, 23.36, 23.389, 23.451, 23.457, 24.094, 24.51, 25.811, 25.986, 26.044, 26.474, 27.311, 27.413, 27.75, 27.815, 28.236, 29.261, 29.883, 30.796, 31.183, 31.207, 31.577, 32.334, 32.399, 32.58, 32.688, 32.946, 34.037, 34.888, 35.496, 35.666, 37.002, 37.839]"
ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),105,"[286.0, 452.0, 945.0, 1.242, 1.603, 1.676, 1.858, 1.935, 2.053, 2.086, 2.408, 2.774, 2.792, 2.826, 3.063, 3.064, 3.577, 3.659, 3.689, 3.771, 4.122, 4.344, 4.377, 4.686, 5.199, 5.787, 6.066, 6.31, 6.399, 6.579, 7.31, 7.571, 7.583, 8.201, 8.566, 8.956, 9.287, 9.61, 9.627, 9.716, 10.139, 10.165, 10.925, 11.438, 11.535, 12.683, 13.25, 13.255, 13.45, 13.485, 13.487, 13.547, 13.564, 14.089, 14.136, 15.007, 15.038, 15.66, 15.819, 16.052, 17.018, 17.071, 18.769, 19.22, 19.32, 19.498, 20.245, 21.103, 22.233, 22.314, 23.451, 23.646, 24.094, 25.811, 26.382, 26.383, 26.829, 27.177, 27.311, 27.516, 27.586, 27.75, 27.815, 28.1, 29.182, 29.316, 30.424, 30.608, 30.795, 30.913, 31.383, 31.449, 31.624, 31.866, 32.334, 34.163, 35.288, 35.574, 36.438, 36.937, 37.839, 38.2, 39.206, 39.392, 39.558]"
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),95,"[286.0, 1.242, 1.603, 1.676, 1.804, 1.935, 2.681, 2.792, 3.063, 3.577, 3.659, 4.377, 5.199, 5.787, 6.31, 6.727, 7.571, 7.769, 8.201, 9.627, 9.716, 10.321, 10.386, 11.277, 11.438, 11.7, 12.236, 13.176, 13.25, 13.255, 13.324, 13.45, 13.485, 13.487, 14.61, 14.749, 14.988, 15.007, 15.038, 15.66, 15.819, 16.052, 16.761, 17.273, 17.824, 17.828, 18.907, 19.015, 19.22, 19.442, 19.498, 20.156, 20.245, 21.103, 21.427, 22.085, 22.161, 22.233, 22.314, 22.581, 23.272, 23.448, 23.451, 23.517, 23.646, 24.094, 25.654, 25.78, 25.811, 26.18, 26.383, 26.429, 27.146, 27.427, 27.956, 29.065, 30.424, 30.469, 30.608, 30.671, 30.795, 30.913, 31.866, 32.334, 33.854, 34.627, 35.288, 35.349, 35.36, 35.496, 37.31, 38.55, 38.552, 39.027, 39.206]"
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),91,"[31.0, 286.0, 452.0, 945.0, 1.242, 1.348, 1.603, 1.676, 1.935, 2.053, 2.392, 2.408, 2.826, 3.063, 3.064, 3.577, 3.658, 4.377, 5.145, 5.199, 5.725, 5.787, 6.066, 6.128, 6.762, 7.32, 7.43, 7.571, 8.201, 8.566, 8.58, 9.61, 9.627, 9.716, 10.386, 10.612, 10.795, 11.519, 11.535, 11.733, 12.342, 12.683, 13.125, 13.25, 13.255, 13.547, 13.564, 14.398, 14.61, 15.007, 15.038, 15.819, 16.089, 17.273, 17.824, 17.828, 18.118, 18.453, 18.907, 19.22, 19.32, 19.498, 20.156, 21.103, 22.314, 22.581, 22.842, 23.451, 23.457, 23.517, 23.583, 23.783, 23.884, 24.094, 24.461, 25.044, 26.345, 27.413, 27.427, 27.516, 27.595, 27.75, 28.342, 28.414, 30.424, 30.795, 32.565, 35.36, 36.073, 36.548, 36.937]"
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),90,"[31.0, 945.0, 1.242, 1.603, 1.935, 2.792, 3.577, 3.659, 3.771, 4.27, 4.377, 4.886, 5.199, 5.787, 7.31, 7.571, 8.201, 9.175, 9.716, 10.165, 10.386, 10.612, 10.779, 10.925, 11.277, 11.519, 11.527, 11.535, 13.176, 13.25, 13.485, 13.487, 14.988, 15.007, 15.038, 16.052, 16.846, 18.127, 18.131, 18.333, 18.6, 18.662, 18.769, 18.907, 19.22, 19.32, 19.498, 20.156, 20.245, 20.419, 21.427, 22.085, 22.161, 22.314, 22.575, 23.323, 23.517, 23.583, 23.646, 24.094, 24.517, 24.752, 25.811, 26.18, 26.345, 26.383, 27.034, 27.165, 27.516, 27.586, 27.75, 28.1, 29.182, 30.424, 30.469, 30.608, 30.795, 30.913, 32.334, 32.565, 34.163, 34.778, 35.386, 35.417, 36.073, 36.937, 37.31, 37.839, 39.047, 39.558]"
BURSA ANADOLU LİSESİ (BURSA - OSMANGAZİ),86,"[1.242, 1.603, 1.935, 2.053, 2.392, 2.681, 3.294, 3.659, 4.035, 4.377, 4.91, 5.145, 5.361, 5.725, 5.947, 6.31, 6.639, 7.32, 7.42, 8.262, 9.162, 9.627, 10.165, 10.795, 10.901, 11.324, 11.527, 12.463, 12.683, 13.125, 13.176, 13.324, 13.547, 13.973, 14.089, 15.094, 16.089, 16.371, 16.552, 16.761, 17.132, 17.383, 17.828, 18.127, 18.6, 18.907, 19.442, 19.498, 20.037, 20.419, 22.192, 22.314, 22.581, 23.323, 23.451, 23.783, 23.884, 24.13, 24.218, 24.752, 26.106, 26.18, 26.383, 26.792, 27.165, 27.177, 27.815, 28.342, 29.049, 29.182, 29.333, 29.446, 30.722, 31.45, 32.334, 32.946, 33.854, 33.878, 34.71, 35.666, 36.548, 38.038, 38.057, 38.243, 38.298, 38.608]"
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),79,"[24.0, 286.0, 452.0, 758.0, 1.008, 1.242, 1.311, 1.348, 1.603, 1.858, 1.935, 2.053, 2.388, 2.408, 2.792, 2.963, 3.294, 3.658, 3.659, 3.689, 3.771, 4.099, 4.27, 4.344, 4.686, 4.886, 4.91, 5.145, 5.199, 5.29, 5.361, 5.725, 5.787, 6.228, 6.399, 6.639, 6.762, 7.43, 7.721, 8.071, 11.277, 11.7, 11.733, 12.201, 12.463, 13.176, 13.324, 13.45, 13.973, 15.038, 15.359, 16.846, 17.132, 18.6, 19.203, 19.32, 19.963, 20.156, 21.534, 22.192, 22.581, 23.352, 23.36, 23.451, 23.884, 24.589, 25.678, 25.722, 26.044, 26.383, 26.897, 27.165, 27.815, 28.1, 33.211, 33.932, 34.531, 36.423, 38.298]"
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),79,"[254.0, 1.008, 1.311, 1.348, 1.603, 1.676, 1.935, 2.053, 2.388, 2.963, 3.113, 3.294, 3.356, 3.577, 3.658, 3.689, 4.344, 4.91, 5.145, 5.199, 5.29, 5.725, 5.787, 5.947, 6.639, 7.296, 7.32, 7.42, 7.43, 7.571, 7.721, 9.025, 9.627, 9.716, 10.165, 11.277, 11.733, 12.201, 12.342, 13.25, 13.324, 13.547, 13.973, 14.089, 14.398, 15.007, 15.038, 15.359, 16.409, 16.552, 17.273, 17.31, 17.828, 18.333, 18.907, 19.442, 20.06, 20.245, 20.419, 20.962, 22.192, 22.314, 23.36, 23.389, 23.451, 24.094, 24.752, 25.044, 26.044, 27.956, 28.664, 29.446, 29.883, 30.038, 31.45, 31.493, 35.496, 35.701, 38.057]"
ANKARA ATATÜRK LİSESİ (ANKARA - ÇANKAYA),76,"[945.0, 1.348, 1.603, 1.935, 2.408, 3.035, 3.577, 5.199, 6.31, 7.43, 7.571, 8.201, 8.566, 9.287, 9.61, 9.716, 11.527, 11.89, 12.201, 12.683, 13.25, 13.255, 13.485, 14.136, 14.61, 14.988, 15.007, 15.819, 16.052, 17.018, 17.071, 17.273, 18.333, 19.22, 19.32, 19.498, 20.06, 20.117, 20.156, 20.33, 20.962, 21.103, 21.427, 22.037, 22.233, 23.583, 23.646, 24.094, 25.811, 26.18, 26.383, 26.829, 26.897, 27.586, 28.1, 28.236, 28.342, 28.565, 29.065, 29.333, 30.424, 30.469, 30.608, 30.795, 30.913, 31.449, 31.45, 32.334, 33.982, 34.116, 35.574, 36.935, 36.937, 37.31, 37.839, 39.392]"
