Median_Success_Rate,High School,Total_Instances,Success_Ranks
2.576,ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - EYÜPSULTAN),4,"[1.234, 1.858, 3.294, 3.577]"
2.59,ÖZEL BATI ANADOLU LİSESİ (ANTALYA - MANAVGAT),6,"[1.008, 1.242, 1.603, 3.577, 13.564, 27.956]"
2.816,ÖZEL IĞDIR BAHÇEŞEHİR FEN LİSESİ (IĞDIR - MERKEZ),4,"[1.935, 2.519, 3.113, 19.22]"
4.226,İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ (İZMİR - ÇİĞLİ),4,"[1.288, 2.053, 6.399, 22.581]"
4.484999999999999,ÖZEL SANKO FEN VE TEKNOLOJİ LİSESİ (GAZİANTEP - ŞEHİTKAMİL),18,"[1.242, 1.311, 1.391, 1.676, 2.388, 2.392, 3.294, 3.577, 3.771, 5.199, 8.58, 10.612, 17.383, 22.085, 22.575, 23.451, 33.565, 33.982]"
5.145,VEHBİ KOÇ VAKFI KOÇ ÖZEL LİSESİ (İSTANBUL - TUZLA),7,"[1.858, 2.544, 3.689, 5.145, 12.342, 27.815, 34.531]"
5.1485,ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),14,"[24.0, 386.0, 1.008, 1.288, 1.858, 2.887, 2.963, 3.294, 3.658, 6.639, 7.296, 12.201, 12.236, 29.049]"
5.199,ÖZEL ANKARA MAYA FEN VE TEKNOLOJİ LİSESİ (ANKARA - GÖLBAŞI),9,"[1.603, 3.063, 3.659, 4.377, 5.199, 6.066, 9.61, 16.052, 23.914]"
6.31,ÖZEL OYA AKIN YILDIZLAR FEN LİSESİ (ANKARA - ÇANKAYA),9,"[2.053, 2.792, 3.577, 4.377, 6.31, 7.769, 32.334, 35.652, 39.206]"
6.4305,ÖZEL POLATLI AYYILDIZ ANADOLU LİSESİ (ANKARA - POLATLI),4,"[3.577, 5.29, 7.571, 9.716]"
6.639,ÖZEL ASFA FEN LİSESİ (İSTANBUL - ÜSKÜDAR),9,"[1.348, 2.053, 4.686, 5.145, 6.639, 8.071, 8.262, 10.901, 12.286]"
6.639,ÖZEL BAHÇEŞEHİR LİSESİ (İSTANBUL - BAŞAKŞEHİR),7,"[2.053, 3.689, 3.771, 6.639, 8.071, 12.558, 16.552]"
7.458500000000001,ÖZEL YAVUZ FEN LİSESİ (GİRESUN - KEŞAP),4,"[2.053, 5.29, 9.627, 17.828]"
7.721,ÖZEL DİLTAŞ KIRKINCI YIL ANADOLU LİSESİ (KONYA - SELÇUKLU),9,"[2.086, 3.356, 5.199, 6.639, 7.721, 9.162, 23.323, 32.565, 37.569]"
7.769,ÖZEL ANTALYA DOĞA FEN LİSESİ (ANTALYA - MURATPAŞA),7,"[1.603, 6.066, 6.762, 7.769, 13.255, 34.888, 36.073]"
7.9295,T.V. ÖZEL ŞİŞLİ TERAKKİ FEN LİSESİ (İSTANBUL - BEŞİKTAŞ),8,"[1.311, 2.887, 3.294, 3.658, 12.201, 17.949, 23.884, 36.423]"
8.071,ÖZEL BORNOVA FEN LİSESİ (İZMİR - BORNOVA),19,"[452.0, 1.242, 1.288, 2.408, 2.887, 4.377, 5.29, 5.361, 7.31, 7.32, 8.071, 10.321, 12.342, 15.094, 16.19, 23.36, 23.389, 23.457, 35.652]"
