Median_Success_Rate,High School,Total_Instances,Success_Ranks,Corrected_Success_Ranks
386.0,HİSAR EĞİTİM VAKFI ÖZEL HİSAR LİSESİ (İSTANBUL - EYÜPSULTAN),1,[386.0],[386.0]
452.0,ÖZEL İNTEGRAL ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,[452.0],[452.0]
945.0,ÖZEL SAKARYA BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1,[945.0],[945.0]
1008.0,TED İSTANBUL KOLEJİ VAKFI ÖZEL LİSESİ (İSTANBUL - BEYKOZ),1,[1.008],[1008.0]
1242.0,ÖZEL ERYAMAN DÜŞÜN ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,[1.242],[1242.0]
1348.0,BTSO HÜSEYİN SUNGUR ANADOLU LİSESİ (BURSA - OSMANGAZİ),1,[1.348],[1348.0]
1348.0,ÖZEL MARMARA EVLERİ İHLAS ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,[1.348],[1348.0]
1419.0,ÖZEL MADALYON KOLEJİ ANADOLU LİSESİ (ANTALYA - MANAVGAT),1,[1.419],[1419.0]
1603.0,ÖZEL ILGIN ARVEN ANADOLU LİSESİ (KONYA - ILGIN),1,[1.603],[1603.0]
1603.0,ÖZEL DEFNE EKİN FEN LİSESİ (HATAY - DEFNE),1,[1.603],[1603.0]
1603.0,MİLLÎ ŞEHİT KAYMAKAM KEMAL BEY FEN LİSESİ (YOZGAT - BOĞAZLIYAN),1,[1.603],[1603.0]
1676.0,ÖZEL BATIKENT ORTADOĞULULAR ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1,[1.676],[1676.0]
1858.0,BJK KABATAŞ VAKFI ÖZEL ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),1,[1.858],[1858.0]
2053.0,ÖZEL ANTALYA YEDİİKLİM ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,[2.053],[2053.0]
2388.0,ÖZEL EVİM MARTI ANADOLU LİSESİ (ZONGULDAK - EREĞLİ),1,[2.388],[2388.0]
2392.0,ÖZEL ORDU DOĞA FEN LİSESİ (ORDU - GÜLYALI),1,[2.392],[2392.0]
2474.0,ÖZEL FİNAL AKADEMİ ANADOLU LİSESİ (KÜTAHYA - MERKEZ),1,[2.474],[2474.0]
2474.0,ÖZEL ANKARA AÇI TEMEL LİSESİ (ANKARA - ÇANKAYA),1,[2.474],[2474.0]
2490.75,ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - EYÜPSULTAN),4,"[1.234, 1.858, 3.294, 3.577]","[1234.0, 1858.0, 3294.0, 3577.0]"
2508.0,KARAPINAR İBRAHİM GÜNDÜZ ANADOLU LİSESİ (KONYA - KARAPINAR),1,[2.508],[2508.0]
2792.0,ÖZEL SİLİFKE GÖKSU ANADOLU LİSESİ (MERSİN - SİLİFKE),1,[2.792],[2792.0]
2963.0,ÖZEL AKA KOLEJİ (İSTANBUL - BAHÇELİEVLER),1,[2.963],[2963.0]
3035.0,ÖZEL SANCAKTEPE BATI FEN BİLİMLERİ ANADOLU LİSESİ (İSTANBUL - SANCAKTEPE),1,[3.035],[3035.0]
3294.0,RECEP TAYYİP ERDOĞAN KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - SULTANGAZİ),1,[3.294],[3294.0]
3294.0,FMV ÖZEL ISPARTAKULE IŞIK LİSESİ (İSTANBUL - AVCILAR),1,[3.294],[3294.0]
3346.6666666666665,ÖZEL ENKA LİSESİ (İSTANBUL - SARIYER),3,"[1.008, 1.311, 7.721]","[1008.0, 1311.0, 7721.0]"
3356.0,ÖZEL FARK ANADOLU LİSESİ (ANTALYA - MANAVGAT),1,[3.356],[3356.0]
3501.5,ÜMİTKÖY ANADOLU İMAM HATİP LİSESİ (ANKARA - ÇANKAYA),2,"[1.804, 5.199]","[1804.0, 5199.0]"
3577.0,ÖZEL SUSURLUK FİNAL AKADEMİ ANADOLU LİSESİ (BALIKESİR - SUSURLUK),1,[3.577],[3577.0]
3577.0,KULA BEKİR SACİDE KELEŞOĞLU ANADOLU LİSESİ (MANİSA - KULA),1,[3.577],[3577.0]
3659.0,AFYONKARAHİSAR HATTAT AHMET KARAHİSARİ ANADOLU İMAM HATİP LİSESİ (AFYONKARAHİSAR - MERKEZ),1,[3.659],[3659.0]
3659.0,ÖZEL ÇAKIRLAR ŞENER ÇAKMAK FEN LİSESİ (ANKARA - YENİMAHALLE),1,[3.659],[3659.0]
3689.0,ÖZEL GÜNEŞLİ SINAV FEN LİSESİ (İSTANBUL - BAĞCILAR),1,[3.689],[3689.0]
3689.0,ÖZEL ÇAĞ FEN VE TEKNOLOJİ LİSESİ (MERSİN - TARSUS),1,[3.689],[3689.0]
3771.0,ÖZEL KUMLUCA SINAV ANADOLU LİSESİ (ANTALYA - KUMLUCA),1,[3.771],[3771.0]
3771.0,İSTEK ÖZEL KEMAL ATATÜRK ANADOLU LİSESİ (İSTANBUL - SARIYER),1,[3.771],[3771.0]
4122.0,ÖZEL ALTINDAĞ FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ALTINDAĞ),1,[4.122],[4122.0]
4270.0,KOCAHASANLI ANADOLU LİSESİ (MERSİN - ERDEMLİ),1,[4.27],[4270.0]
4344.0,ÖZEL ÇEKMECE DOĞA FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1,[4.344],[4344.0]
4377.0,ÖZEL BİLİM KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,[4.377],[4377.0]
4620.5,ÖZEL İDEA FEN LİSESİ (BURSA - OSMANGAZİ),2,"[3.294, 5.947]","[3294.0, 5947.0]"
5145.0,EDİRNE AKMERCAN ANADOLU İMAM HATİP LİSESİ (EDİRNE - MERKEZ),1,[5.145],[5145.0]
5145.0,KUMRU ANADOLU İMAM HATİP LİSESİ (ORDU - KUMRU),1,[5.145],[5145.0]
5145.0,ÖZEL AÇI ANADOLU LİSESİ (DENİZLİ - PAMUKKALE),1,[5.145],[5145.0]
5145.0,ÖZEL KASTAMONU BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KASTAMONU - MERKEZ),1,[5.145],[5145.0]
5145.0,ERGANİ SULTAN ABDÜLHAMİD HAN ANADOLU LİSESİ (DİYARBAKIR - ERGANİ),1,[5.145],[5145.0]
5145.0,GÖZTEPE ANADOLU LİSESİ (MALATYA - BATTALGAZİ),1,[5.145],[5145.0]
5199.0,NİĞDE ÇAĞDAŞ EĞİTİM VAKFI ÖZEL FEN LİSESİ (NİĞDE - MERKEZ),1,[5.199],[5199.0]
5199.0,YENİKENT İLKSAN ANADOLU LİSESİ (ANKARA - SİNCAN),1,[5.199],[5199.0]
5199.0,ÖZEL MERSİN BİLİMKENT KOLEJİ FEN VE TEKNOLOJİ KOLEJİ (MERSİN - MEZİTLİ),1,[5.199],[5199.0]
5199.0,ÖZEL GİRESUN DOĞA FEN LİSESİ (GİRESUN - MERKEZ),1,[5.199],[5199.0]
5290.0,ÖZEL KAHTA FİNAL AKADEMİ ANADOLU LİSESİ (ADIYAMAN - KAHTA),1,[5.29],[5290.0]
5290.0,ÖZEL ROTA ANADOLU LİSESİ (İZMİR - GAZİEMİR),1,[5.29],[5290.0]
5290.0,ÖZEL KENT ANADOLU LİSESİ (İZMİR - GAZİEMİR),1,[5.29],[5290.0]
5290.0,ÖZEL MAVİŞEHİR OKYANUS ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1,[5.29],[5290.0]
5361.0,ÖZEL BİNGÖL BİLİMYOLU KOLEJİ ANADOLU LİSESİ (BİNGÖL - MERKEZ),1,[5.361],[5361.0]
5607.0,ÖZEL BAHÇEŞEHİR KOLEJİ İSKENDERUN ANADOLU LİSESİ (HATAY - BELEN),3,"[1.242, 3.689, 11.89]","[1242.0, 3689.0, 11890.0]"
5725.0,MUĞLA KIZ ANADOLU İMAM HATİP LİSESİ (MUĞLA - MENTEŞE),1,[5.725],[5725.0]
5725.0,ÖZEL YENİŞEHİR DETAY ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1,[5.725],[5725.0]
5725.0,ORHANGAZİ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAĞCILAR),1,[5.725],[5725.0]
5725.0,ÖZEL EGEBİL ASLAN YENİ NESİL FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,[5.725],[5725.0]
5725.0,ÖZEL ANKARA ZAFER ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,[5.725],[5725.0]
5732.333333333333,ÖZEL ERA EĞİTİMDE RASYONEL AÇILIM ANADOLU LİSESİ (BURSA - NİLÜFER),3,"[5.145, 5.29, 6.762]","[5145.0, 5290.0, 6762.0]"
5787.0,ÖZEL KIRIKHAN SINAV KOLEJİ FEN LİSESİ (HATAY - KIRIKHAN),1,[5.787],[5787.0]
5787.0,ÖZEL MANAVGAT KOLEJİ ANADOLU LİSESİ (ANTALYA - MANAVGAT),1,[5.787],[5787.0]
5947.0,ÖZEL ÜMRANİYE AŞAMA ANADOLU LİSESİ (İSTANBUL - ÜMRANİYE),1,[5.947],[5947.0]
5964.5,ÖZEL VAN GİRNE KOLEJİ FEN LİSESİ (VAN - EDREMİT),2,"[5.29, 6.639]","[5290.0, 6639.0]"
6066.0,ÖZEL BİLGEKENT ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1,[6.066],[6066.0]
6128.0,ÖZEL YEŞEREN FEN LİSESİ (İZMİR - BAYRAKLI),1,[6.128],[6128.0]
6228.0,MİMAR SİNAN ANADOLU LİSESİ (TEKİRDAĞ - ÇORLU),1,[6.228],[6228.0]
6310.0,ÖZEL ÇANKAYA DOĞA ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,[6.31],[6310.0]
6310.0,ÖZEL MURATPAŞA ON ADIM EĞİTİM BİLİMLERİ ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,[6.31],[6310.0]
6310.0,ÖZEL DİKMEN HAZIRLIK FEN LİSESİ (ANKARA - ÇANKAYA),1,[6.31],[6310.0]
6310.0,ÖZEL EVRE ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1,[6.31],[6310.0]
6538.5,ÖZEL POLATLI AYYILDIZ ANADOLU LİSESİ (ANKARA - POLATLI),4,"[3.577, 5.29, 7.571, 9.716]","[3577.0, 5290.0, 7571.0, 9716.0]"
6599.0,ÖZEL ASFA FEN LİSESİ (İSTANBUL - ÜSKÜDAR),9,"[1.348, 2.053, 4.686, 5.145, 6.639, 8.071, 8.262, 10.901, 12.286]","[1348.0, 2053.0, 4686.0, 5145.0, 6639.0, 8071.0, 8262.0, 10901.0, 12286.0]"
6639.0,MERAM ÖZEL SINAV ANADOLU LİSESİ (KONYA - MERAM),1,[6.639],[6639.0]
6639.0,ÖZEL EĞİTİMDE RASYONEL AÇILIM (ERA ) KOLEJİ BEYLİKDÜZÜ MARMARA EVLERİ ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,[6.639],[6639.0]
6639.0,ÖZEL BİLFEN ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),1,[6.639],[6639.0]
6639.0,ÖZEL ÇAMKENT ANADOLU LİSESİ (BOLU - MERKEZ),1,[6.639],[6639.0]
6696.75,ÖZEL IĞDIR BAHÇEŞEHİR FEN LİSESİ (IĞDIR - MERKEZ),4,"[1.935, 2.519, 3.113, 19.22]","[1935.0, 2519.0, 3113.0, 19220.0]"
6924.0,ÖZEL TRABZON SINAV KOLEJİ ANADOLU LİSESİ (TRABZON - ORTAHİSAR),2,"[4.686, 9.162]","[4686.0, 9162.0]"
7034.5,ÖZEL AVCILAR NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (İSTANBUL - AVCILAR),2,"[6.639, 7.43]","[6639.0, 7430.0]"
7247.0,ÖZEL BAŞİSKELE UĞUR FEN LİSESİ (KOCAELİ - BAŞİSKELE),2,"[5.199, 9.295]","[5199.0, 9295.0]"
7310.0,ÖZEL GÖRKEM FEN LİSESİ (ANKARA - ETİMESGUT),1,[7.31],[7310.0]
7320.0,ŞİRAN FEN LİSESİ (GÜMÜŞHANE - ŞİRAN),1,[7.32],[7320.0]
7320.0,ERZURUM ANADOLU İMAM HATİP LİSESİ (ERZURUM - YAKUTİYE),1,[7.32],[7320.0]
7320.0,ÖDEMİŞ ANADOLU LİSESİ (İZMİR - ÖDEMİŞ),1,[7.32],[7320.0]
7320.0,ÖZEL BARTIN DENİZ KOLEJİ ANADOLU LİSESİ (BARTIN - MERKEZ),1,[7.32],[7320.0]
7320.0,ÖZEL YAVUZOĞLU ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),1,[7.32],[7320.0]
7571.0,ŞEHİT FAZIL YILDIRIM ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,[7.571],[7571.0]
7571.0,ÖZEL MUŞ BİREY ANADOLU LİSESİ (MUŞ - MERKEZ),1,[7.571],[7571.0]
7571.0,ÖZEL OYA AKIN YILDIZLAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,[7.571],[7571.0]
7583.0,ÖZEL BAŞARFEN KOLEJİ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),1,[7.583],[7583.0]
7619.0,ÖZEL BAHÇEŞEHİR LİSESİ (İSTANBUL - BAŞAKŞEHİR),7,"[2.053, 3.689, 3.771, 6.639, 8.071, 12.558, 16.552]","[2053.0, 3689.0, 3771.0, 6639.0, 8071.0, 12558.0, 16552.0]"
7721.0,ÖZEL BATIKENT YÖNDER ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1,[7.721],[7721.0]
7768.785714285715,ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),14,"[24.0, 386.0, 1.008, 1.288, 1.858, 2.887, 2.963, 3.294, 3.658, 6.639, 7.296, 12.201, 12.236, 29.049]","[24000.0, 386.0, 1008.0, 1288.0, 1858.0, 2887.0, 2963.0, 3294.0, 3658.0, 6639.0, 7296.0, 12201.0, 12236.0, 29049.0]"
7987.5,PROF. DR. MÜMTAZ TURHAN SOSYAL BİLİMLER LİSESİ (İSTANBUL - BAHÇELİEVLER),2,"[3.689, 12.286]","[3689.0, 12286.0]"
8015.5,ÖZEL BAŞARILI ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2,"[3.689, 12.342]","[3689.0, 12342.0]"
8080.25,İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ (İZMİR - ÇİĞLİ),4,"[1.288, 2.053, 6.399, 22.581]","[1288.0, 2053.0, 6399.0, 22581.0]"
8158.333333333333,ÖZEL BATI ANADOLU LİSESİ (ANTALYA - MANAVGAT),6,"[1.008, 1.242, 1.603, 3.577, 13.564, 27.956]","[1008.0, 1242.0, 1603.0, 3577.0, 13564.0, 27956.0]"
8171.444444444444,ÖZEL ANKARA MAYA FEN VE TEKNOLOJİ LİSESİ (ANKARA - GÖLBAŞI),9,"[1.603, 3.063, 3.659, 4.377, 5.199, 6.066, 9.61, 16.052, 23.914]","[1603.0, 3063.0, 3659.0, 4377.0, 5199.0, 6066.0, 9610.0, 16052.0, 23914.0]"
8201.0,FUAT SEZGİN ANADOLU LİSESİ (ERZURUM - PALANDÖKEN),1,[8.201],[8201.0]
8201.0,ŞEHİT ÜSTEĞMEN SELÇUK ESEDOĞLU ANADOLU LİSESİ (SAKARYA - SERDİVAN),1,[8.201],[8201.0]
8262.0,FARABİ ANADOLU LİSESİ (DÜZCE - MERKEZ),1,[8.262],[8262.0]
8358.0,ÖZEL OKYANUS FEN VE PROJE LİSESİ (İSTANBUL - AVCILAR),3,"[3.689, 10.484, 10.901]","[3689.0, 10484.0, 10901.0]"
8528.5,ÖZEL LARA OKYANUS FEN VE TEKNOLOJİ LİSESİ (ANTALYA - MURATPAŞA),2,"[7.43, 9.627]","[7430.0, 9627.0]"
8580.0,BUCAK ANADOLU LİSESİ (BURDUR - BUCAK),1,[8.58],[8580.0]
8580.0,ZELİHA TUNCER ANADOLU İMAM HATİP LİSESİ (ANTALYA - GAZİPAŞA),1,[8.58],[8580.0]
8580.0,ÖZEL SAMANDAĞ YÜKSELİŞ KOLEJİ ANADOLU LİSESİ (HATAY - SAMANDAĞ),1,[8.58],[8580.0]
8580.0,HACI DUDU- MEHMET GEBİZLİ KIZ ANADOLU İMAM HATİP LİSESİ (ANTALYA - MURATPAŞA),1,[8.58],[8580.0]
8699.5,ÖZEL YAVUZ FEN LİSESİ (GİRESUN - KEŞAP),4,"[2.053, 5.29, 9.627, 17.828]","[2053.0, 5290.0, 9627.0, 17828.0]"
8702.0,ÖZEL LÜLEBURGAZ İSTEK FEN LİSESİ (KIRKLARELİ - LÜLEBURGAZ),2,"[3.658, 13.746]","[3658.0, 13746.0]"
8917.0,ÖZEL SİMYA ANADOLU LİSESİ (HATAY - BELEN),1,[8.917],[8917.0]
